Enemy,Initial_Diversity,Simulation,Generation,Fitness_Avg,Fitness_Std,Fitness_Max,Gain_Avg,Gain_Std,Gain_Max
4,1,0,12,37.59320330253704,11.23554742287416,74.12890870538945,-51.342,12.949727255815086,-10.0
4,1,0,13,38.7113634642078,12.297733100153762,65.75389323451844,-50.141999999999996,14.123605630291447,-20.0
4,1,0,14,39.785883648436595,12.89316756315876,75.58677961290972,-48.751999999999995,15.321517418323815,9.000000000000234
4,1,0,15,40.3561235380195,12.767319755860145,75.58677961290972,-48.21,15.152752225255965,9.000000000000234
4,1,0,16,42.24035793087217,13.635485886154244,83.98947689054759,-46.23,15.756811225625583,7.000000000000233
4,1,0,17,44.57563831415016,13.782568918422045,88.26755210842752,-43.18,17.763096576892252,52.00000000000031
4,1,0,18,46.771836527553425,12.66919229908141,88.26755210842752,-40.53999999999999,16.61049066102508,52.00000000000031
4,1,0,19,50.11716314772201,11.438267558824348,88.26755210842752,-36.57599999999999,15.288094191232597,52.00000000000031
4,1,0,20,50.742051461457905,9.492410575992698,74.32677961290973,-36.436,10.97941273475044,-3.599999999999767
4,1,0,21,49.892931943318345,9.941392929140466,87.01111060585316,-37.153999999999996,12.749583679477574,34.60000000000027
4,1,0,22,51.70254319011913,9.022292017872863,74.22235340636489,-35.4,10.336343647538035,-10.0
4,1,0,23,52.09671474658494,9.32278487717872,85.40739374869827,-34.762,11.54416545272978,23.800000000000246
4,1,0,24,54.565014214402005,9.606492868957792,85.40739374869827,-31.921999999999997,11.866352261752583,23.800000000000246
4,1,0,25,56.944764709699996,9.651695191485567,89.81244998517523,-28.84599999999999,14.188159993459367,64.00000000000034
4,1,0,26,58.801442074440175,9.609780379695874,85.13955562760754,-26.727999999999984,12.962268937188474,22.600000000000243
4,1,0,27,60.8585976381475,10.702756647148211,85.13955562760754,-23.729999999999972,14.668752503195432,22.600000000000243
4,1,0,28,63.937558275279756,10.795849233539357,87.64428757951279,-19.485999999999965,16.80069653317991,46.6000000000003
4,1,0,29,64.34844054922003,10.34475067880731,85.13955562760754,-19.685999999999968,14.647027138638158,23.200000000000244
4,1,0,30,68.07955603078811,11.656637195775904,88.54577611364242,-14.203999999999937,18.132335315673057,53.200000000000315
4,1,0,31,69.35584304840096,11.694600294427365,88.54577611364242,-12.019999999999923,19.486826319336966,53.200000000000315
4,1,0,32,67.19543543567654,12.697128374972273,88.54577611364242,-14.883999999999928,20.138881398925925,53.200000000000315
